  222,    0,    0, 1129,  920, 2151,  544,    0, 1564,    0,    0,  299, 1216,    0, 2213,    0
    0,    0,    0,  585,    0, 2317, 1088,    0, 1765,    0,    0,    0, 1008,    0, 2074,    0
    0,    0,    0,  173,  350,  966,    0,  733, 2069,  316,  161,    0, 2937,    0, 1622,    0
  518,  431, 1562, 1189,  406,    0,  949,  788,  587,    0,   61, 1602, 2920,    0,  544,    0
    0,    0,    0,    0,   89,    0,  648,  126,    0,    0,    0,  320,    0,  683,    0,    0
    0,    0,    0,    0,    0,    0,  291,    0,  326, 1294, 1366,    0,  382, 1139,    0,    0
   52,    0,    0, 1026, 1156,    0,    0,    0,  377, 1410, 1007, 2556,  878,  296,    0,    0
  650,  115,    0, 1655,    0,    0, 2062,  164,    0,    0,    0, 2937,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,  184,   17,  107,   79,  737,    0,    0,  703,    0,    0
    0,    0,    0,    0, 1236,  112,    0,    0,  224, 1756, 1288,  725,  845,  543,    0,    0
  404,  107,    0, 1661, 1018,    0, 1670,  146,    0,    0,    0, 3073,  449,    0,    0,    0
  463,  105,    0, 1041,    0,  160, 2012,   36,   17,    0,    0, 1074,   94,    0,  128,    0
  253,    0,    0,  269,  856,  343,    0,    0,  281,  863, 1056,    0,  376,  432,  124,    0
  886,    0,    0, 1389, 2169,  310,  531,  103,  262, 1011,  561, 3512,  879,    0,    0,    0
  678,  316,   48, 1627,    0,  167, 2001,    0,    0,    0,    0, 2996,    0,    0,    0,    0
    0,  116,   20,    0,    0,    0, 1181,    0,   40,    0,    0,    0,  138,    0,   97,    4
